Fiscal Year,US Category Name,US Sector Name,Current Dollar Amount,Activity Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name
2021,Program Support,Direct Administrative Costs,2643,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,2606,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Program Advisor,Enterprises,Enterprises - United States,Celestar Corporation
2021,Peace and Security,Counter-Narcotics,2586,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Education and Social Services,Basic Education,2502,Agreement with Provincial Reconstruction Rehabilitation & Settlement Authority for Reconstruction of schools,Government,Government - Non United States,Government of Pakistan
2021,Program Support,Direct Administrative Costs,2453,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,2418,USAID Advisory and Assistance Services,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,2364,"Bureau of International Narcotics and Law Enforcement Affairs - PIL 2019-CN-08, Narcotics Control Cell Assistan",Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,2352,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Government,Government - United States,U.S. Government - U.S. Agency for International Development
2021,Multi-sector,Multi-sector - Unspecified,2289,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Multi-sector,Multi-sector - Unspecified,2273,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Multi-sector,Multi-sector - Unspecified,2230,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,2202,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,2172,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Program Support,Direct Administrative Costs,2141,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,2060,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,1973,Bureau of International Narcotics and Law Enforcement Affairs - INL-P AGRICULTURAL ACTIVITIES(COMMODITIES) IN KHYB,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1877,Bureau of International Narcotics and Law Enforcement Affairs - Packing and Shipping UAB shipment for Carrie Basni,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Stabilization Operations and Security Sector Reform,1875,Bureau of International Narcotics and Law Enforcement Affairs - INL-P Procurement surcharge for PR9612672,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1859,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,1838,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Terrorism,1820,Bureau of Counterterrorism - 18-255 CT 2607 ICITAP Pakistan Mentor - Karachi,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Program Support,Direct Administrative Costs,1809,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Multi-sector,Multi-sector - Unspecified,1797,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,1790,"Bureau of International Narcotics and Law Enforcement Affairs - TG: Vaughan, Arnila_Mastering Strategy Live Online",Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1687,"Architect-Engineer services for schools construction under Sindh Basic Education Project, Stage II",Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Stabilization Operations and Security Sector Reform,1673,Bureau of International Narcotics and Law Enforcement Affairs - INLP PAP Renovation of Washroom P.S Bara Khau I,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1587,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1575,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1572,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,1533,Bureau of International Narcotics and Law Enforcement Affairs - INL-P AGRICULTURAL ACTIVITIES(OPERATIONAL COST) IN,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1513,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Program Support,Direct Administrative Costs,1512,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1440,USAID Advisory and Assistance Services,Government,Government - United States,U.S. Government - Department of State
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1375,Bureau of International Narcotics and Law Enforcement Affairs - Procurement surcharges for PR9612731,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1314,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Health,Maternal and Child Health,1296,Integrated Health Systems Strengthening and Service Delivery Activity (IHSS-SD),NGO,NGO - United States,John Snow International
2021,Peace and Security,Stabilization Operations and Security Sector Reform,1250,Bureau of International Narcotics and Law Enforcement Affairs - INLP PAP Renovation of Washroom Police Station F,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,1250,Bureau of International Narcotics and Law Enforcement Affairs - INL-P Procurement surcharge for PR9612716,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,1154,Bureau of International Narcotics and Law Enforcement Affairs - INL-P;Transport surcharge for PR9067032,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,1128,Bureau of International Narcotics and Law Enforcement Affairs - INLP CN Handcuffs and LED Torch for ETNC KP,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1098,Bureau of International Narcotics and Law Enforcement Affairs - Miscellaneous Services FY-2021,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1097,Bureau of International Narcotics and Law Enforcement Affairs - Electricity Charges FY-2021,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,1078,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1035,Bureau of International Narcotics and Law Enforcement Affairs - Pakistan RLA Program,Government,Government - United States,U.S. Government - Department of Justice
2021,Program Support,Direct Administrative Costs,1019,Bureau of International Narcotics and Law Enforcement Affairs - Electricity Charges FY-2021,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,986,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Program Support,Direct Administrative Costs,946,Bureau of International Narcotics and Law Enforcement Affairs - Electricity Charges FY-2021,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,902,USAID Pay and Benefits,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2021,Program Support,Direct Administrative Costs,887,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
